material,target,defect_flag
iron,0,0
brass,0,0
oak,0,0
brass,0,0
oak,0,1
pine,0,0
pine,0,1
copper,0,1
brass,0,1
steel,0,1
copper,0,1
glass,0,
steel,0,0
brass,0,1
oak,0,0
cedar,0,1
copper,0,1
pine,0,1
copper,0,0
cedar,0,1
oak,0,0
pine,0,0
brass,0,1
glass,0,1
glass,0,
cedar,0,0
cedar,0,0
cedar,0,1
oak,0,1
cedar,0,0
oak,0,1
pine,0,1
glass,0,0
iron,0,1
cedar,0,1
glass,0,1
pine,0,1
brass,0,0
glass,0,0
glass,0,0
glass,0,1
cedar,0,1
oak,0,0
copper,0,1
pine,0,1
cedar,0,1
cedar,0,1
pine,0,1
pine,0,
glass,0,1
pine,0,1
copper,0,1
glass,0,1
steel,0,0
steel,0,
oak,0,0
cedar,0,0
iron,0,1
brass,0,1
cedar,0,
glass,0,1
glass,0,1
glass,0,0
steel,0,0
iron,0,0
pine,0,0
cedar,0,1
oak,0,0
pine,0,1
oak,0,1
copper,0,1
pine,0,1
oak,0,1
pine,0,0
cedar,0,0
pine,0,0
steel,0,1
pine,0,1
cedar,0,1
cedar,0,0
oak,0,
pine,0,0
glass,0,1
oak,0,1
pine,0,0
cedar,0,0
glass,0,1
cedar,0,1
copper,0,1
iron,0,1
iron,0,
pine,0,1
cedar,0,0
iron,0,1
glass,0,0
cedar,0,1
iron,0,0
glass,0,1
oak,0,1
copper,0,1
pine,0,
pine,0,1
iron,0,1
oak,0,0
steel,0,0
pine,0,0
pine,0,1
glass,0,0
glass,0,0
oak,0,1
pine,0,1
oak,0,1
pine,0,0
iron,0,1
iron,0,0
glass,0,0
oak,0,1
iron,0,1
brass,0,1
glass,0,1
copper,0,0
pine,0,0
pine,0,
glass,0,1
cedar,0,1
oak,0,1
copper,0,0
glass,0,0
iron,0,0
pine,0,0
cedar,0,0
copper,0,1
glass,0,0
