size_band,service_tier,load_level,target,priority_level
03_medium,03_premium,01_idle,5,3
02_small,02_standard,03_heavy,5,3
03_medium,02_standard,03_heavy,6,3
03_medium,02_standard,03_heavy,6,3
04_large,01_basic,02_light,5,
05_huge,01_basic,01_idle,5,3
04_large,03_premium,03_heavy,8,4
04_large,03_premium,02_light,7,4
02_small,02_standard,01_idle,3,2
02_small,01_basic,01_idle,2,1
01_tiny,03_premium,01_idle,3,2
05_huge,02_standard,03_heavy,8,4
03_medium,03_premium,01_idle,5,3
01_tiny,01_basic,03_heavy,3,2
05_huge,02_standard,03_heavy,8,4
05_huge,01_basic,01_idle,5,3
02_small,03_premium,03_heavy,6,3
03_medium,02_standard,02_light,5,3
05_huge,02_standard,01_idle,6,3
05_huge,01_basic,03_heavy,7,4
03_medium,03_premium,01_idle,5,3
01_tiny,03_premium,02_light,4,2
02_small,03_premium,02_light,5,3
05_huge,03_premium,02_light,8,4
04_large,03_premium,01_idle,6,3
03_medium,03_premium,01_idle,5,3
04_large,03_premium,03_heavy,8,4
01_tiny,03_premium,03_heavy,5,3
03_medium,01_basic,01_idle,3,2
05_huge,02_standard,02_light,7,4
02_small,02_standard,01_idle,3,2
05_huge,01_basic,03_heavy,7,4
01_tiny,02_standard,02_light,3,2
03_medium,02_standard,02_light,5,3
03_medium,01_basic,02_light,4,2
03_medium,02_standard,02_light,5,3
02_small,01_basic,03_heavy,4,2
03_medium,03_premium,01_idle,5,3
05_huge,01_basic,03_heavy,7,4
04_large,03_premium,02_light,7,4
05_huge,01_basic,01_idle,5,3
03_medium,03_premium,02_light,6,3
05_huge,03_premium,02_light,8,4
01_tiny,01_basic,03_heavy,3,2
04_large,03_premium,03_heavy,8,4
03_medium,01_basic,01_idle,3,2
02_small,03_premium,01_idle,4,2
05_huge,03_premium,02_light,8,4
01_tiny,01_basic,03_heavy,3,2
03_medium,02_standard,01_idle,4,2
01_tiny,01_basic,03_heavy,3,2
03_medium,02_standard,01_idle,4,2
03_medium,03_premium,02_light,6,3
04_large,02_standard,01_idle,5,3
05_huge,01_basic,01_idle,5,3
05_huge,01_basic,01_idle,5,
05_huge,03_premium,01_idle,7,4
02_small,02_standard,03_heavy,5,3
05_huge,01_basic,01_idle,5,3
02_small,01_basic,03_heavy,4,2
05_huge,01_basic,03_heavy,7,4
02_small,02_standard,03_heavy,5,3
02_small,02_standard,02_light,4,2
01_tiny,02_standard,01_idle,2,1
01_tiny,01_basic,03_heavy,3,2
01_tiny,02_standard,03_heavy,4,2
04_large,01_basic,01_idle,4,2
03_medium,02_standard,02_light,5,3
04_large,01_basic,02_light,5,3
03_medium,03_premium,03_heavy,7,4
03_medium,03_premium,03_heavy,7,4
05_huge,03_premium,01_idle,7,4
04_large,03_premium,02_light,7,4
03_medium,03_premium,03_heavy,7,4
04_large,01_basic,01_idle,4,2
01_tiny,03_premium,01_idle,3,2
01_tiny,01_basic,02_light,2,1
03_medium,01_basic,03_heavy,5,3
01_tiny,02_standard,01_idle,2,1
03_medium,02_standard,02_light,5,3
02_small,03_premium,03_heavy,6,3
05_huge,02_standard,03_heavy,8,4
04_large,02_standard,03_heavy,7,4
03_medium,02_standard,02_light,5,3
02_small,03_premium,02_light,5,3
05_huge,02_standard,01_idle,6,3
05_huge,01_basic,03_heavy,7,
01_tiny,03_premium,02_light,4,2
05_huge,02_standard,01_idle,6,3
05_huge,02_standard,03_heavy,8,4
04_large,01_basic,02_light,5,3
04_large,01_basic,01_idle,4,2
04_large,01_basic,01_idle,4,2
02_small,01_basic,02_light,3,
04_large,01_basic,02_light,5,3
02_small,03_premium,01_idle,4,2
02_small,01_basic,01_idle,2,1
05_huge,03_premium,02_light,8,4
03_medium,03_premium,01_idle,5,3
01_tiny,01_basic,02_light,2,1
05_huge,01_basic,03_heavy,7,4
03_medium,03_premium,02_light,6,3
02_small,02_standard,02_light,4,2
04_large,01_basic,01_idle,4,2
04_large,03_premium,03_heavy,8,4
03_medium,01_basic,03_heavy,5,3
01_tiny,01_basic,01_idle,1,1
04_large,02_standard,01_idle,5,3
03_medium,01_basic,03_heavy,5,3
05_huge,02_standard,02_light,7,4
02_small,01_basic,02_light,3,2
02_small,02_standard,03_heavy,5,
03_medium,02_standard,01_idle,4,2
05_huge,02_standard,03_heavy,8,4
03_medium,02_standard,02_light,5,3
04_large,03_premium,01_idle,6,3
02_small,03_premium,01_idle,4,2
03_medium,02_standard,03_heavy,6,3
04_large,03_premium,03_heavy,8,4
01_tiny,02_standard,02_light,3,2
02_small,02_standard,03_heavy,5,3
03_medium,03_premium,01_idle,5,3
05_huge,02_standard,01_idle,6,3
05_huge,03_premium,02_light,8,4
01_tiny,03_premium,01_idle,3,2
04_large,01_basic,01_idle,4,2
03_medium,01_basic,03_heavy,5,3
01_tiny,02_standard,02_light,3,2
04_large,01_basic,02_light,5,3
01_tiny,03_premium,01_idle,3,2
04_large,01_basic,01_idle,4,2
01_tiny,01_basic,02_light,2,1
03_medium,02_standard,03_heavy,6,3
02_small,02_standard,01_idle,3,2
02_small,02_standard,01_idle,3,2
03_medium,03_premium,02_light,6,
03_medium,03_premium,01_idle,5,3
02_small,03_premium,02_light,5,3
04_large,02_standard,01_idle,5,3
01_tiny,03_premium,02_light,4,2
01_tiny,02_standard,01_idle,2,1
03_medium,01_basic,02_light,4,2
05_huge,01_basic,02_light,6,
03_medium,01_basic,03_heavy,5,3
05_huge,02_standard,03_heavy,8,4
04_large,02_standard,01_idle,5,3
02_small,03_premium,02_light,5,3
05_huge,02_standard,01_idle,6,3
05_huge,03_premium,02_light,8,4
05_huge,01_basic,02_light,6,3
02_small,01_basic,01_idle,2,
04_large,03_premium,02_light,7,4
05_huge,02_standard,02_light,7,4
01_tiny,03_premium,02_light,4,2
01_tiny,01_basic,03_heavy,3,
05_huge,01_basic,03_heavy,7,4
04_large,02_standard,03_heavy,7,4
03_medium,03_premium,02_light,6,3
05_huge,01_basic,03_heavy,7,4
05_huge,02_standard,01_idle,6,3
01_tiny,01_basic,02_light,2,1
03_medium,03_premium,03_heavy,7,4
02_small,02_standard,02_light,4,2
01_tiny,02_standard,01_idle,2,1
01_tiny,02_standard,03_heavy,4,2
04_large,01_basic,03_heavy,6,3
03_medium,02_standard,02_light,5,3
01_tiny,03_premium,02_light,4,2
05_huge,01_basic,02_light,6,3
02_small,02_standard,02_light,4,2
02_small,01_basic,01_idle,2,1
05_huge,03_premium,01_idle,7,4
03_medium,01_basic,02_light,4,2
04_large,03_premium,02_light,7,4
01_tiny,03_premium,01_idle,3,2
03_medium,02_standard,02_light,5,
05_huge,01_basic,01_idle,5,3
01_tiny,03_premium,03_heavy,5,3
01_tiny,02_standard,01_idle,2,1
03_medium,02_standard,01_idle,4,2
05_huge,02_standard,02_light,7,4
05_huge,02_standard,02_light,7,4
05_huge,01_basic,02_light,6,3
04_large,02_standard,03_heavy,7,
04_large,01_basic,03_heavy,6,3
02_small,01_basic,03_heavy,4,2
03_medium,03_premium,01_idle,5,3
01_tiny,01_basic,02_light,2,1
03_medium,01_basic,03_heavy,5,3
04_large,02_standard,03_heavy,7,4
05_huge,02_standard,03_heavy,8,4
03_medium,01_basic,02_light,4,2
05_huge,01_basic,02_light,6,3
01_tiny,02_standard,03_heavy,4,2
05_huge,01_basic,02_light,6,3
04_large,02_standard,01_idle,5,3
02_small,01_basic,01_idle,2,1
03_medium,03_premium,02_light,6,3
03_medium,02_standard,01_idle,4,2
05_huge,02_standard,03_heavy,8,4
01_tiny,03_premium,01_idle,3,2
05_huge,02_standard,03_heavy,8,4
02_small,01_basic,03_heavy,4,2
05_huge,02_standard,01_idle,6,3
05_huge,03_premium,01_idle,7,4
02_small,02_standard,02_light,4,2
05_huge,02_standard,01_idle,6,3
02_small,03_premium,02_light,5,3
04_large,02_standard,02_light,6,3
03_medium,02_standard,03_heavy,6,3
05_huge,01_basic,01_idle,5,3
01_tiny,03_premium,01_idle,3,2
01_tiny,01_basic,03_heavy,3,2
01_tiny,03_premium,02_light,4,2
02_small,01_basic,01_idle,2,1
05_huge,02_standard,01_idle,6,3
01_tiny,02_standard,03_heavy,4,2
04_large,02_standard,02_light,6,3
03_medium,02_standard,03_heavy,6,3
05_huge,03_premium,03_heavy,9,5
04_large,01_basic,03_heavy,6,3
01_tiny,03_premium,02_light,4,2
01_tiny,01_basic,02_light,2,1
03_medium,01_basic,01_idle,3,2
