size_band,target,priority_level
03_medium,5,3
03_medium,3,2
04_large,5,3
04_large,4,2
04_large,7,4
05_huge,7,4
03_medium,7,4
03_medium,6,3
01_tiny,2,1
01_tiny,1,1
02_small,4,2
05_huge,6,3
02_small,4,2
04_large,5,3
03_medium,5,3
05_huge,8,4
05_huge,7,4
04_large,6,3
02_small,5,3
04_large,5,3
03_medium,6,3
02_small,3,2
04_large,5,3
05_huge,5,3
04_large,5,3
02_small,4,2
04_large,6,3
04_large,5,3
04_large,6,3
03_medium,5,3
02_small,5,3
03_medium,4,2
04_large,4,2
02_small,4,2
04_large,7,4
03_medium,3,2
05_huge,8,4
02_small,4,2
04_large,7,4
04_large,5,3
05_huge,6,
04_large,7,4
02_small,3,2
02_small,4,2
05_huge,7,4
05_huge,5,3
04_large,5,
01_tiny,3,2
05_huge,6,3
03_medium,5,3
01_tiny,1,1
03_medium,4,2
04_large,7,4
01_tiny,3,2
02_small,6,3
03_medium,6,3
02_small,3,2
04_large,6,3
03_medium,5,3
01_tiny,3,2
05_huge,6,3
01_tiny,1,1
01_tiny,2,1
01_tiny,1,
05_huge,5,
01_tiny,1,1
05_huge,6,3
03_medium,3,2
02_small,3,2
03_medium,5,3
05_huge,8,4
04_large,5,3
05_huge,6,3
03_medium,4,2
02_small,6,3
01_tiny,5,3
03_medium,4,2
04_large,4,2
01_tiny,2,1
01_tiny,3,2
03_medium,4,2
02_small,4,2
04_large,5,3
03_medium,5,3
05_huge,5,3
01_tiny,4,2
03_medium,7,4
03_medium,6,3
02_small,5,3
05_huge,6,
05_huge,8,4
01_tiny,3,2
05_huge,6,3
04_large,6,
02_small,2,1
03_medium,4,2
04_large,4,2
02_small,3,2
04_large,6,3
05_huge,8,4
03_medium,7,4
04_large,7,4
02_small,5,3
03_medium,6,3
01_tiny,1,1
05_huge,6,3
05_huge,8,4
02_small,3,2
04_large,7,4
04_large,4,2
04_large,4,2
03_medium,6,3
01_tiny,2,1
04_large,6,3
04_large,7,4
03_medium,5,3
01_tiny,4,2
05_huge,7,4
01_tiny,3,2
01_tiny,3,2
04_large,5,3
04_large,6,3
03_medium,5,3
03_medium,7,
03_medium,6,3
03_medium,7,4
02_small,4,2
04_large,6,3
04_large,5,
01_tiny,3,2
01_tiny,3,2
03_medium,6,3
02_small,6,3
04_large,7,4
04_large,5,3
05_huge,7,4
04_large,5,3
05_huge,7,4
03_medium,5,3
02_small,5,3
03_medium,3,2
05_huge,8,4
01_tiny,1,1
03_medium,6,3
04_large,6,3
03_medium,6,3
01_tiny,1,1
02_small,4,2
02_small,4,2
04_large,4,2
01_tiny,4,2
04_large,7,4
02_small,2,1
01_tiny,2,1
04_large,5,3
05_huge,8,4
01_tiny,5,3
01_tiny,4,2
04_large,6,3
05_huge,6,3
03_medium,5,3
03_medium,5,3
05_huge,6,3
05_huge,7,4
03_medium,4,2
01_tiny,2,
02_small,5,
02_small,6,3
03_medium,5,
04_large,8,4
01_tiny,2,1
05_huge,6,3
04_large,4,2
02_small,4,2
01_tiny,2,1
01_tiny,3,2
02_small,3,2
04_large,7,4
04_large,6,3
05_huge,6,3
02_small,4,2
01_tiny,3,2
05_huge,8,4
04_large,6,3
05_huge,8,4
02_small,4,2
05_huge,6,3
05_huge,7,4
04_large,8,4
02_small,4,2
02_small,3,2
03_medium,3,2
01_tiny,2,1
04_large,6,3
03_medium,4,2
01_tiny,4,2
01_tiny,5,3
02_small,6,3
03_medium,7,4
05_huge,6,3
05_huge,6,
02_small,4,2
02_small,4,2
05_huge,6,
05_huge,8,4
01_tiny,4,2
02_small,4,2
04_large,6,3
02_small,5,3
01_tiny,3,2
01_tiny,3,2
03_medium,6,3
04_large,4,2
05_huge,8,4
05_huge,5,3
01_tiny,3,2
03_medium,4,
05_huge,7,4
03_medium,4,2
02_small,4,2
04_large,6,3
05_huge,7,4
04_large,5,3
03_medium,5,3
04_large,6,3
01_tiny,3,2
04_large,6,3
04_large,6,3
05_huge,7,4
01_tiny,4,2
01_tiny,3,2
02_small,4,2
04_large,7,4
02_small,4,2
01_tiny,4,2
04_large,8,4
02_small,3,2
02_small,4,2
05_huge,6,3
03_medium,7,
05_huge,9,5
01_tiny,3,2
03_medium,5,3
03_medium,7,4
02_small,4,2
04_large,6,3
02_small,4,2
05_huge,6,3
04_large,5,3
01_tiny,1,1
01_tiny,2,1
02_small,4,2
02_small,4,2
02_small,6,3
05_huge,8,
03_medium,5,3
05_huge,7,4
04_large,6,3
05_huge,5,
03_medium,5,3
03_medium,6,3
05_huge,8,4
02_small,4,2
03_medium,7,4
03_medium,5,3
04_large,5,3
02_small,2,1
04_large,6,3
03_medium,5,3
05_huge,7,4
04_large,7,4
05_huge,5,3
03_medium,5,3
02_small,3,2
02_small,5,3
04_large,5,3
02_small,4,2
04_large,6,3
05_huge,7,4
01_tiny,4,2
05_huge,8,
05_huge,8,4
01_tiny,5,3
03_medium,5,3
05_huge,7,4
04_large,6,3
03_medium,6,3
02_small,6,3
02_small,2,1
05_huge,8,4
01_tiny,5,3
01_tiny,2,1
04_large,7,4
04_large,7,4
04_large,7,4
03_medium,5,3
02_small,4,2
01_tiny,1,1
03_medium,7,4
03_medium,6,3
03_medium,5,3
04_large,6,3
02_small,4,2
03_medium,5,3
01_tiny,5,3
03_medium,5,3
02_small,4,2
04_large,4,2
