material,finish,region,target,defect_flag
birch,matte,east,2,
copper,matte,west,0,1
basalt,matte,east,0,1
granite,gloss,south,2,1
birch,satin,east,0,0
cedar,satin,north,2,
granite,satin,east,2,1
granite,satin,west,0,1
copper,gloss,north,2,1
birch,gloss,east,1,0
cedar,gloss,west,0,1
granite,matte,south,0,0
cedar,gloss,north,0,0
birch,matte,west,0,0
copper,gloss,east,1,1
birch,matte,north,0,0
cedar,satin,south,0,0
basalt,satin,north,2,1
copper,satin,south,2,1
basalt,gloss,west,0,1
cedar,satin,east,1,0
basalt,gloss,west,0,1
granite,matte,south,0,0
basalt,gloss,west,0,1
copper,gloss,west,2,1
basalt,matte,south,2,1
cedar,satin,west,2,1
cedar,gloss,east,2,1
cedar,satin,south,0,0
copper,matte,east,2,1
basalt,matte,south,2,1
basalt,satin,east,1,1
birch,matte,south,1,0
cedar,gloss,north,0,0
cedar,gloss,east,2,1
birch,gloss,east,1,0
copper,satin,south,2,1
copper,gloss,east,1,1
basalt,gloss,south,1,1
birch,gloss,north,2,0
copper,gloss,east,1,1
cedar,gloss,north,0,0
granite,matte,east,1,0
birch,satin,north,1,0
birch,matte,south,1,0
basalt,satin,south,0,
granite,satin,east,2,1
cedar,gloss,west,0,1
cedar,gloss,south,1,0
birch,matte,west,0,0
copper,matte,south,1,0
copper,satin,north,1,
copper,matte,east,2,1
basalt,satin,east,1,1
birch,satin,south,2,0
birch,satin,east,0,0
copper,matte,south,1,0
cedar,gloss,north,0,0
granite,satin,north,0,0
birch,satin,north,1,0
basalt,satin,north,2,1
birch,matte,east,2,
cedar,matte,north,1,0
basalt,matte,north,1,0
birch,gloss,west,2,1
birch,gloss,north,2,0
birch,gloss,south,0,0
copper,gloss,north,2,1
birch,satin,north,1,0
copper,satin,north,1,
cedar,gloss,north,0,
cedar,matte,west,1,0
basalt,satin,east,1,1
basalt,gloss,east,2,1
basalt,gloss,north,0,1
basalt,satin,north,2,1
cedar,satin,south,0,0
cedar,gloss,north,0,0
copper,gloss,east,1,1
granite,satin,west,0,1
copper,matte,north,0,0
birch,gloss,south,0,0
granite,gloss,south,2,1
cedar,gloss,south,1,0
basalt,matte,south,2,1
basalt,matte,east,0,1
cedar,satin,north,2,0
granite,gloss,south,2,1
birch,satin,west,1,0
basalt,matte,west,1,1
cedar,gloss,west,0,1
cedar,gloss,south,1,0
birch,matte,north,0,
granite,matte,north,2,0
copper,matte,east,2,
birch,matte,east,2,0
copper,satin,north,1,
copper,matte,west,0,1
cedar,gloss,east,2,1
cedar,matte,east,0,0
cedar,matte,west,1,0
copper,matte,north,0,0
birch,gloss,west,2,1
basalt,matte,west,1,1
copper,satin,north,1,0
cedar,matte,west,1,0
copper,gloss,south,0,1
granite,matte,east,1,0
copper,matte,west,0,1
copper,satin,west,1,1
copper,satin,north,1,0
copper,gloss,south,0,1
basalt,matte,east,0,1
cedar,satin,east,1,0
birch,gloss,east,1,0
granite,satin,west,0,1
granite,satin,west,0,1
granite,gloss,west,1,1
basalt,gloss,west,0,
cedar,gloss,west,0,1
granite,matte,east,1,0
cedar,gloss,north,0,0
cedar,satin,east,1,0
granite,gloss,south,2,1
copper,gloss,south,0,1
granite,gloss,west,1,1
copper,gloss,south,0,1
copper,matte,south,1,0
basalt,matte,west,1,1
birch,satin,west,1,0
basalt,gloss,east,2,1
birch,gloss,north,2,
cedar,matte,west,1,0
basalt,satin,south,0,1
granite,satin,east,2,1
copper,matte,south,1,0
granite,gloss,north,1,0
basalt,matte,west,1,1
copper,satin,north,1,0
granite,satin,south,1,0
granite,matte,south,0,0
granite,gloss,north,1,0
cedar,satin,west,2,1
cedar,gloss,east,2,1
copper,satin,east,0,1
copper,matte,east,2,1
cedar,matte,south,2,0
granite,matte,south,0,0
birch,matte,east,2,0
copper,matte,west,0,1
granite,gloss,west,1,1
copper,matte,east,2,1
cedar,matte,west,1,0
copper,matte,west,0,1
basalt,gloss,east,2,1
copper,satin,south,2,1
cedar,matte,north,1,0
copper,satin,east,0,1
birch,matte,south,1,0
cedar,satin,west,2,1
granite,matte,west,2,1
granite,matte,north,2,0
copper,satin,south,2,1
cedar,satin,east,1,0
basalt,satin,east,1,1
basalt,gloss,south,1,1
cedar,gloss,north,0,0
birch,matte,north,0,0
copper,matte,north,0,0
cedar,gloss,north,0,0
granite,gloss,west,1,1
copper,satin,west,1,
cedar,gloss,west,0,1
granite,gloss,east,0,1
birch,satin,south,2,0
basalt,gloss,north,0,1
birch,gloss,north,2,0
copper,matte,east,2,1
birch,gloss,north,2,0
basalt,gloss,north,0,1
granite,matte,east,1,
granite,matte,west,2,1
birch,satin,south,2,0
birch,satin,east,0,0
birch,gloss,north,2,
copper,gloss,north,2,1
granite,satin,east,2,1
birch,satin,north,1,0
cedar,matte,south,2,0
cedar,matte,west,1,0
copper,satin,south,2,1
birch,gloss,south,0,0
granite,satin,east,2,1
cedar,matte,south,2,0
granite,satin,north,0,0
granite,satin,south,1,0
cedar,satin,east,1,0
basalt,matte,east,0,1
copper,satin,east,0,1
basalt,gloss,north,0,1
basalt,matte,south,2,1
copper,satin,south,2,
cedar,satin,east,1,0
cedar,matte,south,2,0
birch,matte,south,1,0
birch,matte,south,1,
basalt,gloss,west,0,1
cedar,gloss,west,0,1
copper,satin,north,1,0
cedar,gloss,east,2,1
birch,satin,north,1,0
cedar,satin,south,0,0
birch,satin,south,2,0
basalt,gloss,east,2,1
basalt,gloss,south,1,1
granite,gloss,east,0,1
birch,matte,north,0,0
granite,satin,west,0,1
birch,matte,west,0,0
granite,matte,north,2,0
birch,satin,west,1,0
copper,gloss,north,2,1
basalt,satin,north,2,1
granite,gloss,south,2,
birch,matte,north,0,0
cedar,satin,south,0,0
birch,gloss,west,2,1
birch,matte,east,2,0
granite,gloss,east,0,1
cedar,satin,east,1,0
basalt,matte,east,0,1
granite,gloss,east,0,1
copper,satin,north,1,0
granite,satin,east,2,1
cedar,matte,north,1,0
birch,gloss,south,0,0
basalt,matte,south,2,1
granite,gloss,east,0,1
copper,matte,south,1,
cedar,gloss,south,1,0
birch,satin,east,0,0
birch,satin,east,0,0
copper,matte,east,2,1
copper,matte,west,0,1
birch,gloss,west,2,1
cedar,satin,east,1,0
copper,satin,north,1,0
cedar,satin,north,2,0
copper,satin,south,2,1
granite,matte,west,2,1
granite,matte,west,2,1
birch,gloss,west,2,1
basalt,matte,south,2,1
copper,matte,west,0,1
basalt,matte,east,0,1
copper,matte,north,0,0
basalt,matte,east,0,1
birch,gloss,west,2,
granite,satin,west,0,1
copper,gloss,south,0,1
copper,satin,east,0,1
cedar,matte,north,1,0
cedar,satin,south,0,0
basalt,satin,south,0,1
granite,gloss,east,0,1
cedar,matte,south,2,0
basalt,satin,east,1,
granite,gloss,east,0,1
